,Topic Number,Topic Name,Review Count,Keywords,Positive %,Neutral %,Negative %
0,0,0_shoes_these_are_love,381,"['shoes', 'these', 'are', 'love', 'comfortable', 'absolutely', 'cute', 'comfy', 'so', 'and']",95.3,3.4,1.3
1,1,1_comfortable_them_comfy_are,357,"['comfortable', 'them', 'comfy', 'are', 'love', 'cute', 'they', 'super', 'uncomfortable', 'very']",86.3,4.2,9.5
2,2,2_boots_these_love_them,329,"['boots', 'these', 'love', 'them', 'are', 'comfortable', 'so', 'absolutely', 'theyre', 'quality']",95.4,1.8,2.7
3,3,3_sandals_are_these_summer,242,"['sandals', 'are', 'these', 'summer', 'they', 'comfortable', 'and', 'love', 'pair', 'so']",90.1,5.4,4.5
4,4,4_wide_narrow_feet_foot,229,"['wide', 'narrow', 'feet', 'foot', 'width', 'have', 'if', 'you', 'shoe', 'wider']",40.2,29.7,30.1
5,5,5_bag_this_it_its,183,"['bag', 'this', 'it', 'its', 'love', 'is', 'one', 'the', 'wallet', 'phone']",92.3,4.9,2.7
6,6,6_fit_fits_great_perfect,164,"['fit', 'fits', 'great', 'perfect', 'color', 'perfectly', 'well', 'style', 'good', 'and']",97.0,2.4,0.6
7,7,7_uncomfortable_hurt_feet_shoes,145,"['uncomfortable', 'hurt', 'feet', 'shoes', 'hours', 'walk', 'wore', 'toes', 'walking', 'them']",48.3,11.0,40.7
8,8,8_sandal_summer_this_the,139,"['sandal', 'summer', 'this', 'the', 'for', 'it', 'is', 'of', 'cute', 'strap']",79.1,9.4,11.5
9,9,9_boot_this_bootie_is,138,"['boot', 'this', 'bootie', 'is', 'beautiful', 'great', 'it', 'nice', 'very', 'looks']",88.4,5.1,6.5
10,10,10_black_colors_white_color,137,"['black', 'colors', 'white', 'color', 'shoes', 'shoe', 'in', 'this', 'pair', 'of']",86.1,8.8,5.1
11,11,11_madden_steve_shoes_from,132,"['madden', 'steve', 'shoes', 'from', 'maddens', 'always', 'of', 'this', 'years', 'pair']",83.3,6.1,10.6
12,12,12_true_size_shoe_pictured,129,"['true', 'size', 'shoe', 'pictured', 'shoes', 'to', 'is', 'exactly', 'as', 'comfortable']",86.0,9.3,4.7
13,13,13_muy_la_de_son,124,"['muy', 'la', 'de', 'son', 'cmodos', 'que', 'los', 'se', 'es', 'el']",85.5,6.5,8.1
14,14,14_heel_height_perfect_is,123,"['heel', 'height', 'perfect', 'is', 'high', 'low', 'the', 'for', 'just', 'of']",88.6,8.9,2.4
15,15,15_boots_size_true_to,119,"['boots', 'size', 'true', 'to', 'they', 'are', 'these', 'up', 'run', 'my']",91.6,5.9,2.5
16,16,16_an_85_usually_normally,110,"['an', '85', 'usually', 'normally', 'wear', 'size', '75', 'but', 'got', 'im']",66.4,19.1,14.5
